HOUR,NS
2274,1394.59
2275,1446.27
2276,1506.5
2277,1461.22
2278,1374.64
2279,1349.03
2280,1398.61
2281,1337.85
2282,1287.91
2283,1280.25
2284,1298.34
2285,1357.66
2286,1457
2287,1554.88
2288,1527.34
2289,1498.98
2290,1479.1
2291,1481.37
2292,1460.55
2293,1424.72
2294,1407.7
2295,1421.81
2296,1403.88
2297,1404.02
2298,1393.91
2299,1449.12
2300,1485.69
2301,1455.22
2302,1384.16
2303,1368.09
2304,1354.68
2305,1324.36
2306,1276.49
2307,1264.41
2308,1190.17
2309,1200.6
2310,1252.97
2311,1329.01
2312,1364.19
2313,1423.06
2314,1445.56
2315,1447.58
2316,1415.39
2317,1376.55
2318,1351.46
2319,1338.65
2320,1345.32
2321,1347.39
2322,1350.66
2323,1353.23
2324,1398.25
2325,1417.25
2326,1394.63
2327,1342.52
2328,1297.99
2329,1273.55
2330,1263.53
2331,1269.01
2332,1273.71
2333,1288.95
2334,1313.46
2335,1356.07
2336,1368.2
2337,1422.35
2338,1443.75
2339,1457.23
2340,1472.39
2341,1495.02
2342,1491.6
2343,1506.75
2344,1555.94
2345,1569.91
2346,1549.66
2347,1542.1
2348,1558.43
2349,1493.45
2350,1465.46
2351,1413.42
2352,1381.79
2353,1366.12
2354,1364.86
2355,1365.31
2356,1380.73
2357,1439.4
2358,1567.19
2359,1620.81
2360,1577.92
2361,1542.77
2362,1541.35
2363,1538.07
2364,1527.2
2365,1437.15
2366,1433.45
2367,1419.35
2368,1440.03
2369,1473.34
2370,1460.79
2371,1505.13
2372,1591.43
2373,1502.04
2374,1393.08
2375,1370.46
2376,1382.85
2377,1371.12
2378,1357.88
2379,1356.59
2380,1367.1
2381,1423.71
2382,1506.64
2383,1550.67
2384,1502.82
2385,1463.12
2386,1418.69
2387,1374.12
2388,1347.29
2389,1313.51
2390,1320.29
2391,1352.48
2392,1337.4
2393,1357.85
2394,1348.19
2395,1383.32
2396,1441.89
2397,1400.83
2398,1324.47
2399,1284.57
2400,1308.2
2401,1308.98
2402,1295.01
2403,1293.82
2404,1311.23
2405,1379.58
2406,1506.93
2407,1510.79
2408,1480.97
2409,1479.62
2410,1418.83
2411,1392.32
2412,1374.49
2413,1343.12
2414,1351.44
2415,1371.77
2416,1391.06
2417,1393.18
2418,1384.18
2419,1392.62
2420,1432.79
2421,1361.65
2422,1296.75
2423,1273.11
2424,1295.03
2425,1269.88
2426,1262.14
2427,1268.65
2428,1290.1
2429,1359.22
2430,1482.33
2431,1541.69
2432,1526.3
2433,1457.27
2434,1393.87
2435,1356.18
2436,1336.72
2437,1313.8
2438,1323.51
2439,1331.7
2440,1346.96
2441,1363.37
2442,1332.83
2443,1368.85
2444,1414.38
2445,1381.35
2446,1318.94
2447,1289.37
2448,1272.31
2449,1240.8
2450,1210.14
2451,1200.63
2452,1220.67
2453,1287.4
2454,1382.55
2455,1447.49
2456,1474.46
2457,1479.35
2458,1456.3
2459,1436.32
2460,1402.46
2461,1350.86
2462,1310.17
2463,1291.43
2464,1295.02
2465,1281.83
2466,1277.08
2467,1332.26
2468,1359.61
2469,1329.92
2470,1274.8
2471,1237.6
2472,1208.81
2473,1170.45
2474,1131.97
2475,1113.99
2476,1126.8
2477,1144.88
2478,1161
2479,1197.5
2480,1274.82
2481,1331.36
2482,1368.08
2483,1380.27
2484,1375.68
2485,1344.67
2486,1305.46
2487,1305.59
2488,1352.98
2489,1402.35
2490,1472.62
2491,1486.68
2492,1506.01
2493,1472.97
2494,1414.96
2495,1350.4
2496,1309.35
2497,1259.95
2498,1276.83
2499,1289.43
2500,1304.08
2501,1332.55
2502,1361.4
2503,1407.41
2504,1447.46
2505,1505.16
2506,1522.91
2507,1504.45
2508,1460.65
2509,1326.83
2510,1286.43
2511,1279.13
2512,1320.4
2513,1346.19
2514,1322.44
2515,1371.53
2516,1450.36
2517,1434.95
2518,1344.33
2519,1276.11
2520,1280.51
2521,1263.23
2522,1261.35
2523,1262.2
2524,1277.04
2525,1331.56
2526,1407.27
2527,1497.2
2528,1512.99
2529,1482.18
2530,1445.54
2531,1416.03
2532,1393.35
2533,1360.6
2534,1367.2
2535,1379.32
2536,1416.39
2537,1429.83
2538,1418.1
2539,1433.81
2540,1439.46
2541,1374.89
2542,1334.21
2543,1328.9
2544,1341.48
2545,1310.43
2546,1279.97
2547,1271.72
2548,1282.68
2549,1310.17
2550,1415.92
2551,1527.34
2552,1561.79
2553,1568.51
2554,1569.04
2555,1578.19
2556,1579.48
2557,1545.32
2558,1523.87
2559,1515.12
2560,1484.2
2561,1452.35
2562,1382.86
2563,1384.63
2564,1422.45
2565,1354.67
2566,1268.43
2567,1245.45
2568,1248.75
2569,1231.62
2570,1204.94
2571,1196.09
2572,1194.11
2573,1251.08
2574,1359.16
2575,1418.09
2576,1405.95
2577,1385.23
2578,1367.29
2579,1345.97
2580,1336.23
2581,1259.98
2582,1239.24
2583,1239.88
2584,1308.5
2585,1390.06
2586,1388.76
2587,1403.36
2588,1457.59
2589,1422.94
2590,1312.74
2591,1254.04
2592,1237.13
2593,1222.41
2594,1189.33
2595,1176.39
2596,1178.79
2597,1240.55
2598,1345.36
2599,1400.97
2600,1419.53
2601,1363.29
2602,1339.75
2603,1310.56
2604,1290.01
2605,1250.75
2606,1238.7
2607,1240.94
2608,1265.68
2609,1278.99
2610,1296.75
2611,1305.1
2612,1314.78
2613,1313.01
2614,1247.97
2615,1210.65
2616,1178.34
2617,1145.41
2618,1115.37
2619,1168.17
2620,1192.63
2621,1241.73
2622,1362.84
2623,1434.2
2624,1460.96
2625,1430.54
2626,1471.39
2627,1472.19
2628,1441.51
2629,1404.23
2630,1382.63
2631,1369.17
2632,1363.12
2633,1372.87
2634,1346.23
2635,1357.66
2636,1421.71
2637,1420.58
2638,1345.8
